Experiment,Threshold,Precision,Precision_Std,Recall,Recall_Std,F1,F1_Std,TrueNegatives,FalsePositives,FalseNegatives,TruePositives,MisclassificationCost,MisclassificationCost_Std,BrierScore,BrierScore_Std
static,0.8,0.5969,0.0372,0.545,0.0338,0.5696,0.0336,2113,30,37,44,103.7,7.7,0.0409,0.0028
static_plus_dynamic,0.8,0.9976,0.0072,0.9975,0.0049,0.9975,0.0041,2143,0,0,81,0.6,0.9,0.0001,0.0002
flakeflagger_raw,0.8,0.9952,0.0096,0.9975,0.0049,0.9963,0.0049,2143,0,0,81,0.8,1.0,0.0002,0.0003
smell_only,0.76,0.2072,0.0986,0.4143,0.0923,0.2525,0.023,1990,153,48,34,248.1,37.3,0.1319,0.0033
